kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_75.ptx 40 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 41 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 42 : 1024 9248 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 43 : 1024 9248 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 44 : 1024 6176 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 45 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 46 : 1024 5152 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 47 : 1024 0 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 49 : 1024 6176 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 50 : 1024 5248 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 73 : 6144 35968 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 74 : 6144 55584 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 75 : 6144 55296 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 76 : 6144 55296 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 77 : 6144 1230272 0 0 0 1536 192 0 0 
matrixMul.1.sm_75.ptx 78 : 6144 24704 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 79 : 6144 30720 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 80 : 6144 191456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 81 : 6144 222016 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 82 : 6144 37152 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 83 : 6144 152704 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 84 : 6144 158848 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 85 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 86 : 6144 154112 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 87 : 6144 163712 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 88 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 89 : 6144 148608 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 90 : 6144 154752 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 91 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 92 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 93 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 94 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 95 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 96 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 97 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 98 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 99 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 100 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 101 : 6144 153920 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 102 : 6144 164512 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 103 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 104 : 6144 148480 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 105 : 6144 154624 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 106 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 107 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 108 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 109 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 110 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 111 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 112 : 6144 36864 0 0 0 0 0 0 0 
